Setup title,SOICMOS-INV-nMOS-IdVd
1.2,4.899E-12,0,-3.956E-12,-7.91E-13
1.26,5.165E-12,0,-4.161E-12,-7.94E-13
1.32,5.594E-12,0,-4.393E-12,-7.98E-13
1.38,5.789E-12,0,-4.798E-12,-6.51E-13
1.44,6.226E-12,0,-4.946E-12,-6.79E-13
1.5,6.527E-12,0,-5.163E-12,-8.95E-13
1.56,6.866E-12,0,-5.54E-12,-8.25E-13
1.62,7.215E-12,0,-6.001E-12,-8.81E-13
1.68,7.635E-12,0,-6.266E-12,-9.11E-13
1.74,8.199E-12,0,-6.762E-12,-1.061E-12
1.8,8.642E-12,0,-7.29E-12,-1.019E-12
1.86,9.298E-12,0,-7.681E-12,-1.096E-12
1.92,1.0017E-11,0,-8.248E-12,-1.158E-12
1.98,1.0681E-11,0,-8.908E-12,-1.214E-12
2.04,1.1465E-11,0,-9.608E-12,-1.278E-12
2.1,1.2397E-11,0,-1.0389E-11,-1.483E-12
2.16,1.3256E-11,0,-1.1211E-11,-1.511E-12
2.22,1.4341E-11,0,-1.2141E-11,-1.721E-12
2.28,1.5514E-11,0,-1.3231E-11,-1.818E-12
2.34,1.6941E-11,0,-1.4291E-11,-1.923E-12
2.4,1.8433E-11,0,-1.5643E-11,-2.097E-12
2.46,2.0097E-11,0,-1.7116E-11,-2.334E-12
2.52,2.185E-11,0,-1.8656E-11,-2.55E-12
2.58,2.3858E-11,0,-2.0454E-11,-2.771E-12
2.64,2.6116E-11,0,-2.2612E-11,-3.028E-12
2.7,2.8633E-11,0,-2.4885E-11,-3.228E-12
2.76,3.1665E-11,0,-2.7447E-11,-3.551E-12
2.82,3.4984E-11,0,-3.0334E-11,-4.074E-12
2.88,3.86E-11,0,-3.3623E-11,-4.368E-12
2.94,4.2731E-11,0,-3.7616E-11,-4.77E-12
3,4.7175E-11,0,-4.1607E-11,-5.214E-12
0,-2.25974E-09,0.5,2.52621E-09,2.281E-12
0.06,1.29054E-06,0.5,-1.28887E-06,1.405E-12
0.12,1.92841E-06,0.5,-1.92786E-06,1.046E-12
0.18,2.20089E-06,0.5,-2.20153E-06,8.76E-13
0.24,2.31293E-06,0.5,-2.31437E-06,7.23E-13
0.3,2.37146E-06,0.5,-2.37305E-06,4.96E-13
0.36,2.41074E-06,0.5,-2.41321E-06,3.18E-13
0.42,2.44533E-06,0.5,-2.44786E-06,2.81E-13
0.48,2.47673E-06,0.5,-2.4792E-06,2.68E-13
0.54,2.50877E-06,0.5,-2.51196E-06,2.22E-13
0.6,2.54144E-06,0.5,-2.5448E-06,1.64E-13
0.66,2.57518E-06,0.5,-2.57899E-06,1.59E-13
0.72,2.60814E-06,0.5,-2.61249E-06,4.2E-14
0.78,2.64311E-06,0.5,-2.64652E-06,-7E-15
0.84,2.67743E-06,0.5,-2.68124E-06,-1.46E-13
0.9,2.7136E-06,0.5,-2.71729E-06,-1.53E-13
0.96,2.74815E-06,0.5,-2.75244E-06,-1.38E-13
1.02,2.78464E-06,0.5,-2.78899E-06,-1.82E-13
1.08,2.82115E-06,0.5,-2.8256E-06,-1.64E-13
1.14,2.85864E-06,0.5,-2.86287E-06,-1.52E-13
1.2,2.89579E-06,0.5,-2.90116E-06,-2.04E-13
1.26,2.93532E-06,0.5,-2.94026E-06,-2.81E-13
1.32,2.97551E-06,0.5,-2.97983E-06,-3.53E-13
